model,method,seed,n,status,path
rf,shap,789,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_shap\seed_789\n_50\results.json
rf,shap,789,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_shap\seed_789\n_100\results.json
rf,shap,789,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_shap\seed_789\n_200\results.json
rf,shap,999,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_shap\seed_999\n_50\results.json
rf,shap,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_shap\seed_999\n_100\results.json
rf,shap,999,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_shap\seed_999\n_200\results.json
svm,anchors,42,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_anchors\seed_42\n_50\results.json
svm,anchors,42,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_anchors\seed_42\n_100\results.json
svm,anchors,42,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_anchors\seed_42\n_200\results.json
svm,anchors,123,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_anchors\seed_123\n_50\results.json
svm,anchors,123,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_anchors\seed_123\n_100\results.json
svm,anchors,123,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_anchors\seed_123\n_200\results.json
svm,anchors,456,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_anchors\seed_456\n_50\results.json
svm,anchors,456,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_anchors\seed_456\n_100\results.json
svm,anchors,456,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_anchors\seed_456\n_200\results.json
svm,anchors,789,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_anchors\seed_789\n_50\results.json
svm,anchors,789,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_anchors\seed_789\n_100\results.json
svm,anchors,789,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_anchors\seed_789\n_200\results.json
