model,seed,n,shap_fidelity,lime_fidelity,diff_fidelity,shap_stability,lime_stability,diff_stability,shap_sparsity,lime_sparsity,diff_sparsity,shap_faithfulness_gap,lime_faithfulness_gap,diff_faithfulness_gap,shap_cost,lime_cost,diff_cost
xgb,42,200,0.7815940054253062,0.5344652187452801,0.24712878668002614,0.6127829623979423,0.0035546889997177004,0.6092282733982246,0.3545138888888889,0.08355324074074072,0.2709606481481482,0.4303789181591128,0.35965612216088627,0.0707227959982265,15.74288375,51.062872500000005,-35.31998875000001
xgb,123,50,0.7259101057667467,0.5374651075365516,0.18844499823019512,0.5907511005730562,0.0028218544914167436,0.5879292460816395,0.4010185185185185,0.08319444444444443,0.3178240740740741,0.4270212282950524,0.372786765882629,0.05423446241242341,18.128205,465.26437,-447.136165
xgb,123,100,0.7291295289617881,0.5498114781984557,0.1793180507633324,0.5752512866836785,0.0029897580495746676,0.5722615286341038,0.40182870370370366,0.08372685185185183,0.3181018518518518,0.4307809158315649,0.3696579395508161,0.06112297628074881,17.7470525,66.546925,-48.799872500000006
xgb,123,200,0.7241276937291683,0.5536890653475366,0.1704386283816317,0.5849216163503936,0.00393865283530308,0.5809829635150906,0.4017824074074074,0.08462962962962962,0.3171527777777778,0.4372782713800552,0.37457939082283703,0.06269888055721817,18.842625,60.71602000000001,-41.873395
xgb,456,50,0.7588960738166333,0.5725855042447887,0.18631056957184455,0.5383470810345847,0.0035530486524867227,0.534794032382098,0.38935185185185184,0.0862962962962963,0.3030555555555555,0.4337397306924686,0.39439713342406324,0.03934259726840533,20.76486,208.51624499999997,-187.75138499999997
xgb,456,100,0.7560225362127839,0.5569654982523439,0.19905703796044005,0.5471271441772854,0.003774445404465448,0.5433526987728199,0.38942129629629635,0.08546296296296294,0.30395833333333344,0.4240124963177368,0.37921811539003103,0.04479438092770577,19.5686775,61.46907999999999,-41.90040249999999
xgb,456,200,0.7612080965075961,0.5704603775663168,0.1907477189412793,0.5310739998696135,0.0036092305800800896,0.5274647692895333,0.39020833333333327,0.08582175925925924,0.30438657407407405,0.4244098363845842,0.38641883430915186,0.03799100207543232,17.70229625,65.73424375,-48.0319475
xgb,789,50,0.7085356586803817,0.573285421248094,0.1352502374322877,0.5256376563776947,0.02098561733703153,0.5046520390406631,0.3688888888888889,0.08675925925925926,0.2821296296296296,0.43486607280559836,0.379713317482383,0.05515275532321534,17.378880000000002,65.810455,-48.431575
xgb,789,100,0.7003788513033187,0.5693322194251023,0.1310466318782164,0.5427090779580288,0.023447332295112693,0.5192617456629162,0.3692129629629629,0.08518518518518517,0.28402777777777777,0.42436974882613865,0.3768657752215222,0.047503973604616445,20.78755,58.89135999999999,-38.103809999999996
xgb,789,200,0.7077357111659537,0.5571246669081514,0.15061104425780225,0.5386809617638683,0.02212870060175396,0.5165522611621143,0.36979166666666674,0.08337962962962962,0.2864120370370371,0.42616884886985645,0.3734347660169442,0.052734082852912256,15.902175,51.02049374999999,-35.11831874999999
xgb,999,50,0.8208890629008735,0.5510387483645798,0.2698503145362937,0.6145541979179703,0.019355832001425054,0.5951983659165452,0.36620370370370364,0.08416666666666664,0.282037037037037,0.4359399726137053,0.36177216163137926,0.07416781098232605,55.292055,431.13404,-375.841985
xgb,999,100,0.8287331801560335,0.5505469452992569,0.2781862348567766,0.6098289618126886,0.01787003713656436,0.5919589246761243,0.36618055555555556,0.08333333333333331,0.28284722222222225,0.44182743363140614,0.3758641170334886,0.06596331659791754,19.4844675,61.534324999999995,-42.049857499999995
xgb,999,200,0.8203268264260608,0.5558011343164173,0.2645256921096435,0.6066299125036998,0.017041332444458095,0.5895885800592418,0.36520833333333336,0.08407407407407405,0.2811342592592593,0.4318299848944298,0.3667113601429446,0.06511862475148522,17.4257725,64.39071375,-46.96494125
