model,method,seed,n,path,fidelity,stability,sparsity,faithfulness_gap,cost
mlp,shap,123,200,C:\Users\jonna\Github\xai-eval-framework\outputs\batch_results.csv::rec_p1_exp2_mlp_shap_s123_n200,0.7181212739867188,0.3111485171786781,0.0925925925925925,0.3693473742813858,733.9168170330231
mlp,shap,456,50,C:\Users\jonna\Github\xai-eval-framework\outputs\batch_results.csv::rec_p1_exp2_mlp_shap_s456_n50,0.7149138679947132,0.3424464139001156,0.0925925925925925,0.3921999758612942,300.2849334347411
mlp,shap,456,100,C:\Users\jonna\Github\xai-eval-framework\outputs\batch_results.csv::rec_p1_exp2_mlp_shap_s456_n100,0.721556971101541,0.3481390465700036,0.0925925925925925,0.3817960547026869,387.1848600616795
mlp,shap,456,200,C:\Users\jonna\Github\xai-eval-framework\outputs\batch_results.csv::rec_p1_exp2_mlp_shap_s456_n200,0.7256976921848964,0.3267239976894568,0.0925925925925925,0.3920122497441198,684.0692837929237
mlp,shap,789,50,C:\Users\jonna\Github\xai-eval-framework\outputs\batch_results.csv::rec_p1_exp2_mlp_shap_s789_n50,0.7238783069391198,0.3420146262748417,0.0925925925925925,0.3634449719488697,466.23672329005785
mlp,shap,789,100,C:\Users\jonna\Github\xai-eval-framework\outputs\batch_results.csv::rec_p1_exp2_mlp_shap_s789_n100,0.7273719959935443,0.3398456992780129,0.0925925925925925,0.3802506446061309,721.2694405134243
mlp,shap,789,200,C:\Users\jonna\Github\xai-eval-framework\outputs\batch_results.csv::rec_p1_exp2_mlp_shap_s789_n200,0.7263784423050137,0.332403003231685,0.0925925925925925,0.3747260186320709,465.928161405318
mlp,shap,999,50,C:\Users\jonna\Github\xai-eval-framework\outputs\batch_results.csv::rec_p1_exp2_mlp_shap_s999_n50,0.7365528161445201,0.3236548981555129,0.0925925925925925,0.3457520534925137,481.48910660500405
mlp,shap,999,100,C:\Users\jonna\Github\xai-eval-framework\outputs\batch_results.csv::rec_p1_exp2_mlp_shap_s999_n100,0.7333145556857061,0.3228252596550925,0.0925925925925925,0.3719627187703977,294.56768477728474
mlp,shap,999,200,C:\Users\jonna\Github\xai-eval-framework\outputs\batch_results.csv::rec_p1_exp2_mlp_shap_s999_n200,0.7241095959011516,0.320562200933903,0.0925925925925925,0.3694403402637254,709.116414247037
rf,anchors,42,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_42\n_50\results.json,0.31209393542633856,0.0011617486470244691,0.17050925925925928,0.19174999999999998,56679.03398
rf,anchors,42,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_42\n_100\results.json,0.3863164820782353,0.006169417594859283,0.03398148148148148,0.16504532529658136,21242.8830575
rf,anchors,42,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_42\n_200\results.json,0.3220430878924141,0.0007702346871181976,0.16655092592592596,0.19200812499999997,56653.66589875
rf,anchors,123,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_123\n_50\results.json,0.27315562242806257,0.0004392162960573494,0.20685185185185184,0.1975,42909.10638499999
rf,anchors,123,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_123\n_100\results.json,0.28617939224086475,0.0009334041564873475,0.20006944444444444,0.19735624999999998,67997.670695
rf,anchors,123,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_123\n_200\results.json,0.2814315493921661,0.0008580351379257505,0.17569444444444443,0.1966342261904762,61498.421515277776
rf,anchors,456,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_456\n_50\results.json,0.31735379220811816,0.0007688650965213218,0.1521759259259259,0.19994333333333336,64909.8955
rf,anchors,456,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_456\n_100\results.json,0.29355230753577566,0.0005299034205082175,0.1733796296296296,0.19531125,65489.64890500001
rf,anchors,456,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_456\n_200\results.json,0.29450291896947095,0.00068825110189736,0.16774176208138472,0.19305950653120466,57325.67811175618
rf,anchors,789,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_789\n_50\results.json,0.36023615991044194,0.0018348589545640662,0.038148148148148146,0.17211906013814235,24007.432079999995
rf,anchors,789,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_789\n_100\results.json,0.3054887428339296,0.00021844942570498863,0.18962962962962962,0.20117916666666666,60685.8205275
rf,anchors,789,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_789\n_200\results.json,0.3472748818279634,0.0024273077005966346,0.034525462962962966,0.16159955988609798,16425.905583750002
rf,anchors,999,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_999\n_50\results.json,0.30012891796266516,0.0004266449503030459,0.19194444444444442,0.18978166666666665,61372.00074
rf,anchors,999,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_999\n_100\results.json,0.29593003413264546,0.00016720375410763624,0.19925925925925927,0.20654500000000003,58205.042547499994
rf,anchors,999,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_999\n_200\results.json,0.3458596865377994,0.004332572892231395,0.033368055555555554,0.16026404249816764,18919.3057525
rf,dice,42,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_42\n_50\results.json,0.1499089976285846,0.4006724980704062,0.018518518518518517,0.11061666666666667,20968.26887
rf,dice,42,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_42\n_100\results.json,0.14501397828751336,0.4139915988199151,0.01833333333333333,0.10548083333333333,19984.804205
rf,dice,42,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_42\n_200\results.json,0.13802299080812905,0.40286744436278454,0.01881944444444444,0.10124166666666667,22828.463585
rf,dice,123,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_123\n_50\results.json,0.12103780426877474,0.37982139535277964,0.01685185185185185,0.11109999999999999,23264.358900000003
rf,dice,123,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_123\n_100\results.json,0.1188947726296226,0.3617061965394149,0.016828703703703703,0.10631249999999999,25597.3887725
