instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_stability,metric_time_ms,metric_error
5163,TP,True,363057.67512798775,0.09259259259259259,0.977317156031106,0.7330183664114434,0.9744453083514065,,
5205,,,,,,,,-1,1
5211,TP,True,463366.24430998927,0.09259259259259259,0.9649449286355938,0.7174044334483191,0.9983335621368519,,
5303,TN,True,240974.62781704962,0.09259259259259259,0.8740865551425603,0.06241752425087979,0.9031233329551412,,
5308,TP,True,403094.5133359637,0.09259259259259259,0.9517325010411036,0.7986591429684996,0.9770878816339124,,
5318,,,,,,,,-1,1
5344,,,,,,,,-1,1
5387,TP,True,432298.4572869027,0.09259259259259259,0.933887681325937,0.6519679792876814,0.9351794239714426,,
5402,,,,,,,,-1,1
5423,,,,,,,,-1,1
5430,TP,True,355020.83906601183,0.09259259259259259,0.9505446198208527,0.6923103688607662,0.9807700022276175,,
5465,,,,,,,,-1,1
5474,,,,,,,,-1,1
5479,,,,,,,,-1,1
5480,,,,,,,,-1,1
5540,,,,,,,,-1,1
5576,,,,,,,,-1,1
5584,TP,True,525290.5988510465,0.09259259259259259,0.9662752438814928,0.7480241372401146,0.9708588434028427,,
5613,,,,,,,,-1,1
5720,,,,,,,,-1,1
5728,TN,True,228209.2505900655,0.09259259259259259,0.413975469145752,0.08047231293330424,0.9558082763061847,,
5743,,,,,,,,-1,1
5767,TN,True,308549.0416029934,0.09259259259259259,0.3385008864052285,0.033065332891193455,0.9390099766354635,,
5775,,,,,,,,-1,1
5786,,,,,,,,-1,1
5802,,,,,,,,-1,1
5804,,,,,,,,-1,1
5806,,,,,,,,-1,1
5829,,,,,,,,-1,1
5836,,,,,,,,-1,1
5886,TP,True,484925.20461899403,0.09259259259259259,0.9711589493352702,0.7469714409927061,0.9977086727482358,,
5899,,,,,,,,-1,1
5925,TP,True,396800.7281650207,0.09259259259259259,0.9659192090444145,0.5863490040616056,0.944151913794121,,
5955,TP,True,436335.838220024,0.09259259259259259,0.9775305331567814,0.754412835070633,0.974423970115423,,
6071,TP,True,500463.93268194515,0.09259259259259259,0.9756000386367254,0.41521789144269605,0.9547438881392071,,
6125,,,,,,,,-1,1
6172,TN,True,232559.1270918958,0.09259259259259259,0.43818004478753325,0.06304787462808906,0.9445895349620855,,
6180,,,,,,,,-1,1
6219,TN,True,236631.12612999976,0.09259259259259259,0.7774357191161961,0.1844676231986601,0.8800842094411878,,
6238,,,,,,,,-1,1
6259,,,,,,,,-1,1
6265,,,,,,,,-1,1
6302,TN,True,302019.53609799966,0.09259259259259259,0.514696336518895,0.05389277588910692,0.9588259823471634,,
6321,TN,True,386608.9743899647,0.09259259259259259,0.800511252754444,0.03604209824080731,0.8454232882013063,,
6340,,,,,,,,-1,1
6342,TN,True,260120.26559805963,0.09259259259259259,0.8855260755337218,0.017171447863101652,0.9397746043641182,,
6346,TN,True,250857.14961006306,0.09259259259259259,0.8400278433839781,0.034278378775892016,0.895744022024398,,
6384,,,,,,,,-1,1
6395,,,,,,,,-1,1
6398,TP,True,311538.37055695476,0.09259259259259259,0.9134951436101706,0.7916805287527363,0.982473191574027,,
6403,TP,True,611345.0745199807,0.09259259259259259,0.9513906829115253,0.8129905283626376,0.9856963837963056,,
6418,,,,,,,,-1,1
6476,TP,True,414510.78027300537,0.09259259259259259,0.9428794265367543,0.6742572674296512,0.9509666484436851,,
6479,TP,True,313555.7801669929,0.09259259259259259,0.9735179927218259,0.628212577141231,0.9638737645167335,,
6518,,,,,,,,-1,1
6532,,,,,,,,-1,1
6551,,,,,,,,-1,1
6555,,,,,,,,-1,1
6628,,,,,,,,-1,1
6635,,,,,,,,-1,1
6664,,,,,,,,-1,1
6670,TN,True,460711.9368800195,0.09259259259259259,0.8857689892171106,0.029187675259021384,0.9498467019220697,,
6682,,,,,,,,-1,1
6717,,,,,,,,-1,1
6739,,,,,,,,-1,1
6741,,,,,,,,-1,1
6768,TP,True,459233.2949290285,0.09259259259259259,0.9602303536306676,0.5645843907576132,0.9521854541397478,,
6805,,,,,,,,-1,1
6817,TN,True,244053.24534489773,0.09259259259259259,0.9020015875999883,0.1279409536026891,0.9568771465750301,,
6828,,,,,,,,-1,1
6845,TN,True,440737.40148497745,0.09259259259259259,0.24621052192487636,0.011730322722072195,0.9662126727277386,,
6872,TP,True,433458.0740100064,0.09259259259259259,0.9778230540516752,0.4684048183867058,0.9784686440786745,,
6893,,,,,,,,-1,1
6922,,,,,,,,-1,1
6923,TN,True,244547.07242397126,0.09259259259259259,0.6190097305193574,0.09746343168457325,0.937084212948616,,
6954,,,,,,,,-1,1
6979,TN,True,239014.36701999046,0.09259259259259259,0.3222801298493416,0.0009166149412775937,0.9554930258164994,,
6987,,,,,,,,-1,1
7016,,,,,,,,-1,1
7060,TN,True,483221.88405203633,0.09259259259259259,0.43435840068167486,0.01419605806614116,0.9296335655912508,,
7068,,,,,,,,-1,1
