model,method,seed,n,instance_id,masking_scheme,topk_gap,top_feature_corr,n_features_masked_topk
rf,shap,123,50,2080,marginal,0.4920814470744708,0.19430802597319746,5.0
rf,shap,123,50,2080,grouped_mean,0.7073993164638592,-0.017358266884371032,57.0
rf,shap,123,50,2121,zero,0.2631539818052958,0.3333023082260373,5.0
rf,shap,123,50,2121,mean,0.2631539818052958,0.3175224170550058,5.0
rf,shap,123,50,2121,marginal,0.26035147124858676,0.28049566217132876,5.0
rf,shap,123,50,2121,grouped_mean,0.42556189123595656,0.1753154900216654,58.0
rf,shap,123,50,2175,zero,0.5444898153235291,0.4082046935864432,5.0
rf,shap,123,50,2175,mean,0.5444898153235291,0.40820469358644307,5.0
rf,shap,123,50,2175,marginal,0.2232808743912431,0.4973485958343501,5.0
rf,shap,123,50,2175,grouped_mean,0.5444898153235294,-0.0027852622431996724,41.0
rf,shap,123,50,2192,zero,0.33060538904906733,0.4259698793949298,5.0
rf,shap,123,50,2192,mean,0.33060538904906717,0.4259698793949274,5.0
rf,shap,123,50,2192,marginal,0.18624827865655944,0.1173778364171493,5.0
rf,shap,123,50,2192,grouped_mean,0.2996318099696128,0.07724488653525335,34.0
rf,shap,456,50,0,zero,0.3953345334664615,0.583234930789015,5.0
rf,shap,456,50,0,mean,0.39533453346646164,0.5832349307890152,5.0
rf,shap,456,50,0,marginal,0.43464444396553503,0.35352283374668797,5.0
rf,shap,456,50,0,grouped_mean,0.384496639708912,0.4907893134900928,34.0
rf,shap,456,50,248,zero,0.2036665487803371,0.5966400348888837,5.0
rf,shap,456,50,248,mean,0.20366654878033708,0.5966400348888837,5.0
rf,shap,456,50,248,marginal,0.20153099700375585,0.7827661006133821,5.0
rf,shap,456,50,248,grouped_mean,0.18010311465287557,0.14771307763252145,58.0
rf,shap,456,50,312,zero,0.060279741549793424,0.7101463581391075,5.0
rf,shap,456,50,312,mean,0.06027974154979341,0.7101463581391074,5.0
rf,shap,456,50,312,marginal,0.5597690178021297,0.9240574196461333,5.0
rf,shap,456,50,312,grouped_mean,0.18614378651281893,0.6067087874152272,33.0
rf,shap,456,50,324,zero,0.5091700382389163,0.9012263436817306,5.0
rf,shap,456,50,324,mean,0.5091700382389162,0.9012263436817305,5.0
rf,shap,456,50,324,marginal,0.4088970210601513,0.8066734475358973,5.0
rf,shap,456,50,324,grouped_mean,0.46235228473869217,0.7009145261253303,57.0
rf,shap,456,50,334,zero,0.03717601183779673,0.8893094926240063,5.0
rf,shap,456,50,334,mean,0.03717601183779673,0.8893094926240064,5.0
rf,shap,456,50,334,marginal,0.23005593173108707,0.8480682452222158,5.0
rf,shap,456,50,334,grouped_mean,0.25350655576762376,0.4362399507805983,35.0
rf,shap,456,50,339,zero,0.4743437683741922,0.8152163571696958,5.0
rf,shap,456,50,339,mean,0.4743437683741925,0.8152163571696959,5.0
rf,shap,456,50,339,marginal,0.4673390595059314,0.248350409220675,5.0
rf,shap,456,50,339,grouped_mean,0.572470668005319,0.151156685455025,57.0
rf,shap,456,50,532,zero,0.0753294341989751,0.6159114129106374,5.0
rf,shap,456,50,532,mean,0.0753294341989751,0.6159114129106374,5.0
rf,shap,456,50,532,marginal,0.4573196484777904,0.8587596662757476,5.0
rf,shap,456,50,532,grouped_mean,0.2000235342793471,0.0794666917253934,34.0
rf,shap,456,50,548,zero,0.4493109927454,0.8364573684521951,5.0
rf,shap,456,50,548,mean,0.44931099274539993,0.8364573684521953,5.0
rf,shap,456,50,548,marginal,0.2600337273402775,0.7832095592876975,5.0
rf,shap,456,50,548,grouped_mean,0.40108425184545815,0.3920503900450028,57.0
rf,shap,456,50,625,zero,0.294064714060702,0.548586530751288,5.0
rf,shap,456,50,625,mean,0.294064714060702,0.5485865307512876,5.0
rf,shap,456,50,625,marginal,0.2632201841478497,0.7791830043333396,5.0
rf,shap,456,50,625,grouped_mean,0.2709502342010286,-0.04728084378459668,58.0
