experiment,dataset,model,explainer,seed,n,source,path,fidelity,stability,sparsity,faithfulness_gap,cost,duration_s
exp2,adult,mlp,dice,42,100,raw,experiments/exp2_scaled/results/mlp_dice/seed_42/n_100/results.json,0.01750126946463743,0.1261670181877228,0.015231481481481481,0.0687186655884816,1052.6711679375444,3853.518039
exp2,adult,mlp,dice,42,200,raw,experiments/exp2_scaled/results/mlp_dice/seed_42/n_200/results.json,0.017512982249512546,0.12746736171318848,0.015381944444444441,0.06822795457502115,490.85505837552773,6269.147511
exp2,adult,mlp,dice,123,50,raw,experiments/exp2_scaled/results/mlp_dice/seed_123/n_50/results.json,0.021824642315693633,0.13049939848923445,0.015,0.08340123862529782,514.0689910930814,1702.524346
exp2,adult,mlp,dice,123,100,raw,experiments/exp2_scaled/results/mlp_dice/seed_123/n_100/results.json,0.02398868695396076,0.1318169526540833,0.015208333333333334,0.06568358400784093,1090.0461531850442,3822.680251
exp2,adult,mlp,dice,123,200,raw,experiments/exp2_scaled/results/mlp_dice/seed_123/n_200/results.json,0.023868986424656635,0.12390149920660776,0.01528935185185185,0.07536188089277206,506.67398166384373,6466.376508
exp2,adult,mlp,dice,456,100,raw,experiments/exp2_scaled/results/mlp_dice/seed_456/n_100/results.json,0.029124048808230753,0.14630416138109348,0.015347222222222224,0.07778903074871624,482.9616024209099,3162.598553
exp2,adult,mlp,dice,789,50,raw,experiments/exp2_scaled/results/mlp_dice/seed_789/n_50/results.json,0.03976507623501267,0.14769084824847986,0.01597222222222222,0.06435349207695293,579.0637520534801,1819.63805
exp2,adult,mlp,dice,789,100,raw,experiments/exp2_scaled/results/mlp_dice/seed_789/n_100/results.json,0.03372826373896513,0.13645949816256764,0.015555555555555553,0.06771247396431254,3756.697760663301,25367.626726
exp2,adult,mlp,dice,789,200,raw,experiments/exp2_scaled/results/mlp_dice/seed_789/n_200/results.json,0.024135629545824874,0.1231857786850242,0.01528935185185185,0.0673884878654131,525.2242838737658,6500.965699
exp2,adult,mlp,dice,999,50,raw,experiments/exp2_scaled/results/mlp_dice/seed_999/n_50/results.json,0.021632718044316022,0.13281319461208088,0.015972222222222224,0.07876838900971196,540.8429600232921,1604.711593
exp2,adult,mlp,dice,999,100,raw,experiments/exp2_scaled/results/mlp_dice/seed_999/n_100/results.json,0.027928925155434055,0.11988460934253332,0.015648148148148147,0.07379627269945492,530.5184859602377,3428.930975
exp2,adult,mlp,dice,999,200,raw,experiments/exp2_scaled/results/mlp_dice/seed_999/n_200/results.json,0.029726563551504052,0.12116627529056753,0.01528935185185185,0.07876271509978074,552.8999168278096,7026.620893
exp2,adult,mlp,lime,42,50,raw,experiments/exp2_scaled/results/mlp_lime/seed_42/n_50/results.json,0.5191085288575897,0.0024779716934268457,0.08444444444444443,0.38071907979270775,3.5468310343276244,11.022477
exp2,adult,mlp,lime,42,100,raw,experiments/exp2_scaled/results/mlp_lime/seed_42/n_100/results.json,0.5304479746444511,0.0027915682776652457,0.08365740740740739,0.36798434494319493,3.149159178356058,20.038019
exp2,adult,mlp,lime,42,200,raw,experiments/exp2_scaled/results/mlp_lime/seed_42/n_200/results.json,0.5362160329598797,0.0025953134515438086,0.08359953703703703,0.37738394083758253,3.2551501124453353,40.843139
exp2,adult,mlp,lime,123,50,raw,experiments/exp2_scaled/results/mlp_lime/seed_123/n_50/results.json,0.5590957288706778,0.001963334278710046,0.08467592592592592,0.3438828819430097,2.840503747574985,9.27921
exp2,adult,mlp,lime,123,100,raw,experiments/exp2_scaled/results/mlp_lime/seed_123/n_100/results.json,0.5576530367509204,0.0027828716850650925,0.08379629629629629,0.33188789059521695,3.424157594636199,21.801847
exp2,adult,mlp,lime,123,200,raw,experiments/exp2_scaled/results/mlp_lime/seed_123/n_200/results.json,0.5461329622819585,0.002262917101365631,0.08505787037037034,0.34544861206197686,3.279440621736285,42.146524
exp2,adult,mlp,lime,456,50,raw,experiments/exp2_scaled/results/mlp_lime/seed_456/n_50/results.json,0.561591523670099,0.002991175359565114,0.08430555555555555,0.33251619255999737,3.599355996993836,11.406052
