experiment_name,dataset,duration,model,explainer,cost_mean,cost_std,sparsity_mean,sparsity_std,fidelity_mean,fidelity_std,faithfulness_gap_mean,faithfulness_gap_std,stability_mean,stability_std,cf_sensitivity_mean,cf_sensitivity_std
exp2_xgb_dice_s789_n200,adult,7469.719618,adult_xgb,dice,586.665066242058,1188.8725393513712,0.016863425925925924,0.007852913305590263,0.32744552053547066,0.2921667322706452,0.18451225745040575,0.2353468544868343,0.5748737983035119,0.25859067914225786,0.0,0.0
exp2_xgb_anchors_s456_n50,adult,826.461684,adult_xgb,anchors,2914.5761993544875,15054.044475681667,0.05731481481481481,0.09215354240195588,0.3209681269856867,0.21700536592632128,0.2085541560559068,0.2436113848319054,0.0005357142857142856,0.0033792542683898225,,
exp2_logreg_dice_s789_n100,adult,58246.278338,adult_logreg,dice,4886.279079397518,6023.325931970801,0.018125,0.013829173323375337,0.16937376991148181,0.22858414870686683,0.06318878217017478,0.10863859370673226,0.3596251847662857,0.3591944548424128,0.0,0.0
exp2_mlp_anchors_s456_n200,adult,10261.864715,adult_mlp,anchors,10507.327830650464,21014.246599019665,0.14975694444444446,0.2159589106964149,0.3092318298603678,0.22902302772758637,0.2641932203207374,0.25420941716751405,0.00041079819967240446,0.0030709894969991863,,
exp2_xgb_anchors_s123_n200,adult,3850.874014,adult_xgb,anchors,2666.589169023573,10465.110982199862,0.05909722222222222,0.09040171632576091,0.32731853619882373,0.21554839696307102,0.2289017927691748,0.253985451299077,0.000544538759187193,0.0033305394771283884,,
exp2_logreg_dice_s999_n200,adult,9999.564763,adult_logreg,dice,601.5802462935426,590.0123620779667,0.01798611111111111,0.013940317591828478,0.167771722372579,0.2321658805065039,0.060952953203742534,0.09832800690356625,0.3469303959799725,0.36129122394397295,0.0,0.0
exp2_rf_dice_s42_n50,adult,4193.653774,adult_rf,dice,593.1991491945519,79.69839378609224,0.018518518518518517,0.015242664475142897,0.1499089976285846,0.2686527128846562,0.11061666666666667,0.17307804196694365,0.4006724980704062,0.3761984110854145,0.0,0.0
exp2_mlp_dice_s42_n200,adult,6269.147511,adult_mlp,dice,490.85505837552773,314.05469468676495,0.015381944444444441,0.004430905666533667,0.017512982249512546,0.14529073385512797,0.06822795457502115,0.13089124300448832,0.12746736171318848,0.20286480205791443,0.0,0.0
exp2_rf_anchors_s123_n100,adult,27199.068278,adult_rf,anchors,59724.62058170033,91784.40851319188,0.20006944444444444,0.2718902996183893,0.28617939224086475,0.25067438299171146,0.19735624999999998,0.20062230916116913,0.0009334041564873475,0.004912068918916383,,
exp2_rf_dice_s123_n50,adult,4652.87178,adult_rf,dice,580.7446902280208,76.03150477251171,0.01685185185185185,0.0100904686857965,0.12103780426877474,0.24633264314456357,0.11109999999999999,0.1594554483233483,0.37982139535277964,0.3650239200292662,0.0,0.0
exp2_rf_dice_s999_n100,adult,8215.898766,adult_rf,dice,596.2570245750425,84.16976979993092,0.01770833333333333,0.009419191684118512,0.13757305960903893,0.25780093818083044,0.11645499999999999,0.1762198711127664,0.3705903343704227,0.3501646345130749,0.0,0.0
exp2_rf_anchors_s456_n200,adult,39497.392219,adult_rf,anchors,49823.13324958811,85779.95087664579,0.16774176208138472,0.2453593304072792,0.29450291896947095,0.24441200429222407,0.19305950653120466,0.19926056808825487,0.00068825110189736,0.0038215635600903574,,
exp2_mlp_anchors_s123_n50,adult,2177.203846,adult_mlp,anchors,9457.656995005236,17677.159415035345,0.1511574074074074,0.2204324871604628,0.28363518265188853,0.22948517248853337,0.236364554450196,0.23728683611195248,0.00023628585866051078,0.0018526614766622971,,
exp2_svm_shap_s789_n100,adult,297987.706419,adult_svm,shap,163119.13069587742,110828.26214358666,0.09259259259259257,1.3877787807814457e-17,0.9593900857195793,0.026350176348986135,0.6691258991299648,0.10766339962965193,0.9675737144086636,0.02552418075464385,,
exp2_xgb_anchors_s42_n50,adult,1925.63087,adult_xgb,anchors,3872.198461241205,18200.43122709312,0.06203703703703703,0.09147004726862834,0.3043581442428179,0.20811187146422747,0.22829901651304682,0.25664263221524714,0.0007457598085231413,0.0029612734710175175,,
exp2_rf_dice_s42_n200,adult,18262.770868,adult_rf,dice,640.1101695239777,96.24864032675328,0.01881944444444444,0.01571742213402359,0.13802299080812905,0.25923229315875473,0.10124166666666667,0.16276693865599504,0.40286744436278454,0.36706774922657504,0.0,0.0
exp2_rf_anchors_s789_n100,adult,24274.328211,adult_rf,anchors,54952.46924371505,89737.74406232522,0.18962962962962962,0.25937986612686237,0.3054887428339296,0.25691309274905144,0.20117916666666666,0.2120189043834823,0.00021844942570498863,0.0013132314599645775,,
exp2_xgb_dice_s456_n200,adult,8750.556835,adult_xgb,dice,689.0211691871446,1264.7412152017387,0.016458333333333332,0.008180144197249306,0.3130355573473592,0.28589503763091667,0.17008652180811623,0.2199671792327966,0.5682299698601728,0.2681959878702825,0.0,0.0
